bagus,1
baik,1
ok,1
ngamuk,-1
oke,1
suka,1
menarik,1
nice,1
abal,-1
asik,1
aborsi,-1
ada,1
absurd,-1
ada,1
adil,1
hebat,1
sukses,1
cerdik,1
cerdas,1
bersih,1
rajin,1
senyum,1
mendukung,1
rapi,1
terang,1
tenang,1
nyaman,1
lengkap,1
luas,1
sejuk,1
dingin,1
ramah,1
wangi,1
joss,1
mantap,1
mantab,1
jelek,-1
buruk,-1
bodoh,-1
pembodohan,-1
malas,-1
boring,-1
bermutu,1
bermanfaat,1
bosan,-1
membosankan,-1
payah,-1
parah,-1
kotor,-1
berantakan,-1
berisik,-1
marah,-1
nyebelin,-1
sebal,-1
sebel,-1
gaduh,-1
jijik,-1
menjijikan,-1
panas,-1
kacau,-1
sempit,-1
rusak,-1
cuek,-1
abai,-1
macet,-1
gelap,-1
bau,-1
jorok,-1
pusing,-1
alah,-1
alay,-1
alergi,-1
gak,-1
enggak,-1
nggak,-1
burik,-1
susah,-1
ngak,-1
semangat,1
suwe,-1
burukk,-1
sampah,-1
hapus,-1
lama,-1
semangaatt,1
gk,-1
kurang,-1
kesel,-1
monoton,-1
menghargai,1
dukung,1
keren,1
cukup,-1
dulu,-1
taeh,-1
taik,-1
taek,-1
sedikit,-1
lancar,1
menghibur,1
ribet,-1
kekurangan,-1
enak,1
kalau,-1
kecewa,-1
aneh,-1
seru,1
lelah,-1
kasian,-1
tingkatkan,1
anjing,-1
kontol,-1
sakit,-1
kaku,-1
mencintai,1
lag,-1
tolol,-1
goblok,-1
goplok,-1
tambahin,1
bug,-1
bangga,1
banga,1
dead,-1
terbaik,1
nyesel,-1
menyesal,-1
tidak seru,-1
dikembangkan,1
kembangkan,1
good,1
got,-1
males,-1
berlebihan,-1
ancur,-1
hancur,-1
menyebalkan,-1
unik,1
spesial,1
kecil,-1
gajelas,-1
saran,1
maaf,1
anj,-1
telek,-1
kampret,-1
perek,-1
peler,-1
pepek,-1
pukimak,-1
setan,-1
syaithon,-1
saiton,-1
shit,-1
sial,-1
sialan,-1
sinting,-1
sintiang,-1
silit,-1
sontoloyo,-1
tai,-1
telek,-1
asu,-1
babi,-1
anjir,-1
anjay,-1
seruk,1
senang,1
bahagia,1
jutek,-1
keras,-1
mohon,1
makasih,1
terimakasih,1
terawat,1
cinta,1
nyusahin,-1
error,-1
tipu,-1
plagiat,-1
bangkrut,-1
ruwet,-1
cacat,-1
cacad,-1
anjg,-1
gaje,-1
buang,-1
ngenn,-1
ngen,-1
ribetin,-1
eror,-1
repot,-1
gateel,-1
sulit,-1
report,-1
terkonntoll,-1
bingung,-1
lambat,-1
lamban,-1
heran,-1
beban,-1
busuk,-1
boros,-1
hina,-1
stabil,1
layak,1
gagal,-1
ngelag,-1
ribett,-1
licikk,-1
mudah,1
pler,-1
ampas,-1
lelet,-1
nyusahkan,-1
unfaedah,-1
sesat,-1
emosi,-1
jos,1
berfaedah,1
bobrok,-1
maksain,-1
top,1
bad,-1
bosok,-1
burikk,-1
kntl,-1
gabisa,-1
bagong,-1
cheater,-1
ngebug,-1
peras,-1
ngga,-1
gjls,-1
laknat,-1
not,-1
citer,-1
resah,-1
atur,-1
gakguna,-1
scam,-1
disgusting,-1
faedah,1
gampang,1
spam,-1
gakjelas,-1
efektif,1
useless,-1
welek,-1
lierr,-1
jancok,-1
good game,1
njay,-1
dobol,-1
repotin,-1
titid,-1
mampu,1
hambat,-1
belum,-1
belom,-1
gaptek,-1
mampus,-1
ngtd,-1
boong,-1
salah,-1
sempurna,-1
terpaksa,-1
dipaksa,-1
paksa,-1
tolong,1
lucu,1
kocak,1
trouble,-1
rusuh,-1
kesalahan,-1
lemah,-1
bapuk,-1
noob,-1
ancurr,-1
puas,1
mahal,-1
sedih,-1
putus tali gantung,-1
gelebah,-1
gobar hati,-1
tersentuh (perasaan),-1
isak,-1
larat hati,-1
nelangsa,-1
remuk redam,-1
tidak segan,-1
gemar,-1
tak segan,-1
sesal,-1
pengen,-1
penghayatan,-1
absorpsi,-1
linu,-1
salah benang,-1
sakit,-1
lara,-1
zuhud,-1
mencederai,-1
mengingkari,-1
maaf,-1
mengkhianat,-1
mencelakai,-1
mulu,-1
ngga,-1
borong,-1
lever,-1
kasian,-1
gamau,-1
doang,-1
pulas,-1
abis,-1
coba,-1
kangen,-1
kalau,-1
maunya,-1
seandainya,-1
marilah,-1
bener,-1
yaudah,-1
nggak,-1
gatau,-1
apaan,-1
ngakak,-1
atuh,-1
sekali,-1
menarik hati,-1
cedayam,-1
kece,-1
termakan,-1
belom,-1
malem,-1
mencekau,-1
menduga,-1
menyuarakan,-1
memprediksi,-1
membunyikan,-1
menerka,-1
menaksir,-1
mengantisipasi,-1
nangis,-1
rompok,-1
soalnya,-1
griya,-1
gubuk,-1
anjir,-1
putus jiwa,-1
berlalu dr dunia,-1
putus nyawa,-1
menarik napas penghabisan,-1
membuang nyawa,-1
hilang hayat,-1
putus napas,-1
kojor,-1
berputih tulang,-1
buntu,-1
berkalang tanah,-1
koit,-1
putus usia,-1
buntet,-1
tamat riwayatnya,-1
menamatkan riwayatnya,-1
hilang nyawa,-1
males,-1
asih,-1
kasih sayang,-1
kekaguman,-1
dendam berahi,-1
rindu,-1
afeksi,-1
cinta kasih,-1
renjana,-1
pagina,-1
tresna,-1
filantropi,-1
cintrong,-1
cetusan,-1
katanya,-1
rintisan,-1
kronologi,-1
jalan buntu,-1
rintis,-1
jalan bebas hambatan,-1
purwa,-1
lanjut umur,-1
bangkot,-1
sepuh,-1
lanjut usia,-1
lepra,-1
bau tanah,-1
berumur,-1
purba,-1
jomblo,-1
gacoan,-1
tambatan hati,-1
sir-siran,-1
malam,-1
tayib,-1
tayibah,-1
necis,-1
estetis,-1
baper,-1
perfek,-1
tolong,-1
sayid,-1
radang,-1
didih,-1
ngantuk,-1
sirap hati,-1
rampang,-1
kecil hati,-1
bertelinga merah,-1
tersirap hatinya,-1
merah telinga,-1
mencak-mencak,-1
gaada,-1
manjur,-1
mujarab,-1
beber,-1
singkap,-1
penangkis,-1
mending,-1
akibat,-1
satir,-1
nyanyian,-1
menyibuk,-1
gara,-1
dikit,-1
ilang,-1
kepeng,-1
bodo,-1
air,-1
suri,-1
ihh,-1
asasi,-1
menenes,-1
tumpuan,-1
fondasi,-1
beliin,-1
sekam,-1
maafin,-1
memahirkan,-1
